MOT;PLURIEL;FÉMININ;FEMININ_PLURIEL
gaullien;gaulliens;gaullienne;gaulliennes
gaulliste;gaullistes;;gauloise
gaulois;gauloise;gauloises;
gausseur;gausseurs;gausseuse;gausseuses
gazeux;gazeuse;gazeuses;
gazier;gaziers;gazière;gazières
gazogène;gazogènes;;gazonneuse
gazonneux;gazonneuse;gazonneuses;
gazouillant;gazouillants;gazouillante;gazouillantes
gazouilleur;gazouilleurs;gazouilleuse;gazouilleuses
gaélique;gaéliques;;geignants
geignant;geignants;geignante;geignantes
geignard;geignards;geignarde;geignardes
geigneur;geigneurs;geigneuse;geigneuses
gelé;gelés;gelée;gelées
gemmeur;gemmeurs;gemmeuse;gemmeuses
gemmifère;gemmifères;;gemmipares
gemmipare;gemmipares;;genevoise
genevois;genevoise;genevoises;
gente;gentes;;gentils
gentil;gentils;gentille;gentilles
gentilice;gentilices;;gentillets
gentillet;gentillets;gentillette;gentillettes
gercé;gercés;gercée;gercées
germain;germains;germaine;germaines
germanique;germaniques;;germanisants
germanisant;germanisants;germanisante;germanisantes
germanophile;germanophiles;;germinaux
germinal;germinaux;germinale;germinales
germinatif;germinatifs;germinative;germinatives
gestatoire;gestatoires;;gesticulants
gesticulant;gesticulants;gesticulante;gesticulantes
gesticulateur;gesticulateurs;gesticulatrice;gesticulatrices
gestionnaire;gestionnaires;;gestuels
gestuel;gestuels;gestuelle;gestuelles
gibbeux;gibbeuse;gibbeuses;
gibelin;gibelins;gibeline;gibelines
giboyeux;giboyeuse;giboyeuses;
gidien;gidiens;gidienne;gidiennes
gigantesque;gigantesques;;gingivaux
gingival;gingivaux;gingivale;gingivales
ginguet;ginguets;ginguette;ginguettes
giocoso;;giottesques;
giottesque;giottesques;;giraffidés
giraffidé;giraffidés;giraffidée;giraffidées
giralducien;giralduciens;giralducienne;giralduciennes
giratoire;giratoires;;gironds
girond;gironds;gironde;girondes
girondin;girondins;girondine;girondines
gironné;gironnés;gironnée;gironnées
gisant;gisants;gisante;gisantes
giscardien;giscardiens;giscardienne;giscardiennes
gitan;gitans;gitane;gitanes
givreux;givreuse;givreuses;
givré;givrés;givrée;givrées
glabre;glabres;;glaceuse
glaceux;glaceuse;glaceuses;
glaciaire;glaciaires;;glaciaux
glacial;glaciaux;glaciale;glaciales
glacé;glacés;glacée;glacées
glaireux;glaireuse;glaireuses;
glaiseux;glaiseuse;glaiseuses;
glandulaire;glandulaires;;glanduleuse
glanduleux;glanduleuse;glanduleuses;
glandé;glandés;glandée;glandées
glapissant;glapissants;glapissante;glapissantes
glauque;glauques;;glaçants
glaçant;glaçants;glaçante;glaçantes
glissant;glissants;glissante;glissantes
glissé;glissés;glissée;glissées
global;globaux;globale;globales
globulaire;globulaires;;globuleuse
globuleux;globuleuse;globuleuses;
glorieux;glorieuse;glorieuses;
glottal;glottaux;glottale;glottales
glottique;glottiques;;gloutons
glouton;gloutons;gloutonne;gloutonnes
gluant;gluants;gluante;gluantes
glucidique;glucidiques;;glutamiques
glutamique;glutamiques;;glutineuse
glutineux;glutineuse;glutineuses;
glycogène;glycogènes;;glycogéniques
glycogénique;glycogéniques;;glyconiens
glyconien;glyconiens;glyconienne;glyconiennes
glyconique;glyconiques;;glyptiques
glyptique;glyptiques;;glénoïdes
glénoïde;glénoïdes;;gnangnans
gnangnan;gnangnans;;gniangnians
gniangnian;gniangnians;;gnolles
gnolle;gnolles;;gnomiques
gnomique;gnomiques;;gnomoniques
gnomonique;gnomoniques;;gnostiques
gnostique;gnostiques;;gobeurs
gobeur;gobeurs;gobeuse;gobeuses
godiche;godiches;;godronnés
godronné;godronnés;godronnée;godronnées
goethien;goethiens;goethienne;goethiennes
goethéen;goethéens;goethéenne;goethéennes
goguelu;goguelus;goguelue;goguelues
goguenard;goguenards;goguenarde;goguenardes
goitreux;goitreuses;goitreux;
gombette;gombettes;;gominés
gominé;gominés;gominée;gominées
gommeux;gommeuse;gommeuses;
gommé;gommés;gommée;gommées
gomorrhéen;gomorrhéens;gomorrhéenne;gomorrhéennes
goménolé;goménolés;goménolée;goménolées
gonflant;gonflants;gonflante;gonflantes
gonflé;gonflés;gonflée;gonflées
goniométrique;goniométriques;;gonococciques
gonococcique;gonococciques;;gordiens
gordien;gordiens;gordienne;gordiennes
gorgé;gorgés;gorgée;gorgées
goth;goths;gothe;gothes
gothique;gothiques;;gouachés
gouaché;gouachés;gouachée;gouachées
gouailleur;gouailleurs;gouailleuse;gouailleuses
gouapeur;gouapeurs;gouapeuse;gouapeuses
goudronneux;goudronneuse;goudronneuses;
goudronné;goudronnés;goudronnée;goudronnées
gouleyant;gouleyants;gouleyante;gouleyantes
gouliafre;gouliafres;;goulus
goulu;goulus;goulue;goulues
gourd;gourds;gourde;gourdes
gourmand;gourmands;gourmande;gourmandes
gourmé;gourmés;gourmée;gourmées
goutteux;goutteuse;goutteuses;
gouvernable;gouvernables;;gouvernants
gouvernant;gouvernants;gouvernante;gouvernantes
gouvernemental;gouvernementaux;gouvernementale;gouvernementales
gouverné;gouvernés;gouvernée;gouvernées
goîtreux;goîtreuses;goîtreux;
grabataire;grabataires;;graciables
graciable;graciables;;gracieuse
gracieux;gracieuse;gracieuses;
gracile;graciles;;graciés
gracié;graciés;graciée;graciées
graduel;graduels;graduelle;graduelles
gradé;gradés;gradée;gradées
graillonnant;graillonnants;graillonnante;graillonnantes
grainé;grainées;grainé;grainés
graisseur;graisseurs;graisseuse;graisseuses
graisseux;graisseuse;graisseuses;
grammairien;grammairiens;grammairienne;grammairiennes
grammatical;grammaticaux;grammaticale;grammaticales
grand;grands;grande;grandes
grandelet;grandelets;grandelette;grandelettes
grandiloque;grandiloques;;grandiloquents
grandiloquent;grandiloquents;grandiloquente;grandiloquentes
grandiose;grandioses;;grandissimes
grandissime;grandissimes;;graniteuse
graniteux;graniteuse;graniteuses;
granitique;granitiques;;granitoïdes
granitoïde;granitoïdes;;granités
granité;granités;granitée;granitées
granivore;granivores;;granulaires
granulaire;granulaires;;granuleuse
granuleux;granuleuse;granuleuses;
granulométrique;granulométriques;;granulés
granulé;granulés;granulée;granulées
graphique;graphiques;;grasse
gras;grasse;grasses;
grassouillet;grassouillets;grassouillette;grassouillettes
gratiné;gratinés;gratinée;gratinées
gratis;;gratuits;gratuite
gratuit;gratuits;gratuite;gratuites
gravatif;gravatifs;gravative;gravatives
grave;graves;;graveleuse
graveleux;graveleuse;graveleuses;
gravelée;gravelées;;gravides
gravide;gravides;;gravifiques
gravifique;gravifiques;;gravimétriques
gravimétrique;gravimétriques;;gravitationnels
gravitationnel;gravitationnels;gravitationnelle;gravitationnelles
gravé;gravés;gravée;gravées
gravéolent;gravéolents;gravéolente;gravéolentes
grazioso;graziosos;;grecs
grec;grecs;grecque;grecques
greffier;greffiers;greffière;greffières
grelottant;grelottants;grelottante;grelottantes
grelotteux;grelotteuse;grelotteuses;
grenadin;grenadins;grenadine;grenadines
grenat;grenats;;grenus
grenu;grenus;grenue;grenues
grené;grenées;grené;grenés
gribiche;gribiches;;gribouillés
gribouillé;gribouillés;gribouillée;gribouillées
grief;griefs;griève;grièves
griffeur;griffeurs;griffeuse;griffeuses
griffonneur;griffonneurs;griffonneuse;griffonneuses
griffonné;griffonnés;griffonnée;griffonnées
griffu;griffus;griffue;griffues
griffé;griffés;griffée;griffées
grignoteur;grignoteurs;grignoteuse;grignoteuses
grillagé;grillagés;grillagée;grillagées
grimacier;grimaciers;grimacière;grimacières
grimaud;grimauds;grimaude;grimaudes
grimaçant;grimaçants;grimaçante;grimaçantes
grimpant;grimpants;grimpante;grimpantes
grimpeur;grimpeurs;grimpeuse;grimpeuses
grincheux;grincheuse;grincheuses;
gringalet;gringalets;gringalette;gringalettes
gringolé;gringolés;gringolée;gringolées
grinçant;grinçants;grinçante;grinçantes
grippal;grippaux;grippale;grippales
grippé;grippés;grippée;grippées
gris;grise;grises;
grisaillé;grisaillés;grisaillée;grisaillées
grison;grisons;grisonne;grisonnes
grisonnant;grisonnants;grisonnante;grisonnantes
grisâtre;grisâtres;;grivelés
grivelé;grivelés;grivelée;grivelées
grivois;grivoise;grivoises;
groenlandais;groenlandaise;groenlandaises;
groggy;groggys;;grognards
grognard;grognards;grognarde;grognardes
grogneur;grogneurs;grogneuse;grogneuses
grognon;grognons;grognonne;grognonnes
grondant;grondants;grondante;grondantes
grondeur;grondeurs;grondeuse;grondeuses
gros;grosse;grosses;
grossier;grossiers;grossière;grossières
grossissant;grossissants;grossissante;grossissantes
grotesque;grotesques;;grouillants
grouillant;grouillants;grouillante;grouillantes
grumeleux;grumeleuse;grumeleuses;
gruyer;gruyers;;grèges
grège;grèges;;grégaires
grégaire;grégaires;;grégeoise
grégeois;grégeoise;grégeoises;
grégorien;grégoriens;grégorienne;grégoriennes
gréseux;gréseuse;gréseuses;
grésillant;grésillants;grésillante;grésillantes
gréviste;grévistes;;grêles
grêle;grêles;;grêlés
grêlé;grêlés;grêlée;grêlées
guais;guaise;guaises;
guarani;guaranis;;guelfes
guelfe;guelfes;;guenilleuse
guenilleux;guenilleuse;guenilleuses;
guerrier;guerriers;guerrière;guerrières
guerroyant;guerroyants;guerroyante;guerroyantes
guerroyeur;guerroyeurs;guerroyeuse;guerroyeuses
guesdiste;guesdistes;;gueulards
gueulard;gueulards;gueularde;gueulardes
guidé;guidés;guidée;guidées
guignard;guignards;guignarde;guignardes
guilleret;guillerets;guillerette;guillerettes
guilloché;guillochés;guillochée;guillochées
guindé;guindés;guindée;guindées
gustatif;gustatifs;gustative;gustatives
guttifère;guttifères;;gutturaux
guttural;gutturaux;gutturale;gutturales
guèbre;guèbres;;guérissables
guérissable;guérissables;;guérissants
guérissant;guérissants;guérissante;guérissantes
guérisseur;guérisseurs;guérisseuse;guérisseuses
gymnastique;gymnastiques;;gymniques
gymnique;gymniques;;gymnospermes
gymnosperme;gymnospermes;;gynandromorphes
gynandromorphe;gynandromorphes;;gynécologiques
gynécologique;gynécologiques;;gypseuse
gypseux;gypseuse;gypseuses;
gypsifère;gypsifères;;gyromagnétiques
gyromagnétique;gyromagnétiques;;gyroscopiques
gyroscopique;gyroscopiques;;gyrovagues
gyrovague;gyrovagues;;gâcheurs
gâcheur;gâcheurs;gâcheuse;gâcheuses
gâcheux;gâcheuse;gâcheuses;
gâteux;gâteuse;gâteuses;
gâté;gâtés;gâtée;gâtées
géant;géants;géante;géantes
gélatineux;gélatineuse;gélatineuses;
gélif;gélifs;gélive;gélives
gémeau;gémeaux;gémelle;gémelles
géminé;géminés;géminée;géminées
gémissant;gémissants;gémissante;gémissantes
gémisseur;gémisseurs;gémisseuse;gémisseuses
génal;génaux;génale;génales
génial;géniaux;géniale;géniales
génital;génitaux;génitale;génitales
génois;génoise;génoises;
génuine;génuines;;généalogiques
généalogique;généalogiques;;généraux
général;généraux;générale;générales
généralisateur;généralisateurs;généralisatrice;généralisatrices
généralissime;généralissimes;;généralistes
généraliste;généralistes;;générateurs
générateur;générateurs;génératrice;génératrices
génératif;génératifs;générative;génératives
généreux;généreuse;généreuses;
générique;génériques;;génésiaques
génésiaque;génésiaques;;génésiques
génésique;génésiques;;généthliaques
généthliaque;généthliaques;;généticiens
généticien;généticiens;généticienne;généticiennes
génétique;génétiques;;géocentriques
géocentrique;géocentriques;;géochimiques
géochimique;géochimiques;;géodésiques
géodésique;géodésiques;;géographiques
géographique;géographiques;;géologiques
géologique;géologiques;;géomagnétiques
géomagnétique;géomagnétiques;;géomorphologiques
géomorphologique;géomorphologiques;;géomètres
géomètre;géomètres;;géométraux
géométral;géométraux;géométrale;géométrales
géométrique;géométriques;;géophysiques
géophysique;géophysiques;;géopolitiques
géopolitique;géopolitiques;;géorgiens
géorgien;géorgiens;géorgienne;géorgiennes
géorgique;géorgiques;;géosynclinaux
géosynclinal;géosynclinaux;géosynclinale;géosynclinales
géothermique;géothermiques;;gênants
gênant;gênants;gênante;gênantes
gêné;gênés;gênée;gênées
habile;habiles;;habillés
habillé;habillés;habillée;habillées
habitable;habitables;;habituels
habituel;habituels;habituelle;habituelles
habitué;habitués;habituée;habituées
haché;hachés;hachée;hachées
hadal;hadaux;hadale;hadales
hagard;hagards;hagarde;hagardes
hagiographe;hagiographes;;hagiographiques
hagiographique;hagiographiques;;haillonneuse
haillonneux;haillonneuse;haillonneuses;
haineux;haineuse;haineuses;
haletant;haletants;haletante;haletantes
halieutique;halieutiques;;halitueuse
halitueux;halitueuse;halitueuses;
hallstattien;hallstattiens;hallstattienne;hallstattiennes
hallucinant;hallucinants;hallucinante;hallucinantes
hallucinatoire;hallucinatoires;;hallucinogènes
hallucinogène;hallucinogènes;;halophiles
halophile;halophiles;;haltérophiles
haltérophile;haltérophiles;;hambourgeoise
hambourgeois;hambourgeoise;hambourgeoises;
handicapé;handicapés;handicapée;handicapées
hanséatique;hanséatiques;;hantés
hanté;hantés;hantée;hantées
haploïde;haploïdes;;harassants
harassant;harassants;harassante;harassantes
harassé;harassés;harassée;harassées
harcelant;harcelants;harcelante;harcelantes
hardi;hardis;hardie;hardies
haret;harets;harète;harètes
hargneux;hargneuse;hargneuses;
harmonien;harmoniens;harmonienne;harmoniennes
harmonieux;harmonieuse;harmonieuses;
harmonique;harmoniques;;harnachés
harnaché;harnachés;harnachée;harnachées
harpé;harpés;harpée;harpées
hasardeux;hasardeuse;hasardeuses;
hasardé;hasardés;hasardée;hasardées
haussier;haussiers;haussière;haussières
haut;hauts;haute;hautes
hautain;hautains;hautaine;hautaines
hauturier;hauturiers;hauturière;hauturières
havanais;havanaise;havanaises;
havane;havanes;;haves
have;haves;;hawaïens
hawaïen;hawaïens;hawaïenne;hawaïennes
haïssable;haïssables;;haïsseurs
haïsseur;haïsseurs;haïsseuse;haïsseuses
hebdomadaire;hebdomadaires;;hectiques
hectique;hectiques;;hectométriques
hectométrique;hectométriques;;
heimatlos;;hellènes;
hellène;hellènes;;helléniques
hellénique;helléniques;;hellénisants
hellénisant;hellénisants;hellénisante;hellénisantes
hellénistique;hellénistiques;;helvètes
helvète;helvètes;;helvétiques
helvétique;helvétiques;;hendécagones
hendécagone;hendécagones;;hendécasyllabes
hendécasyllabe;hendécasyllabes;;hennissants
hennissant;hennissants;hennissante;hennissantes
heptacorde;heptacordes;;heptagones
heptagone;heptagones;;herbacés
herbacé;herbacés;herbacée;herbacées
herbager;herbagers;herbagère;herbagères
herbeux;herbeuse;herbeuses;
herbicide;herbicides;;herbivores
herbivore;herbivores;;herborisés
herborisé;herborisés;herborisée;herborisées
herbu;herbus;herbue;herbues
herbé;herbés;herbée;herbées
herculéen;herculéens;herculéenne;herculéennes
hercynien;hercyniens;hercynienne;hercyniennes
hermaphrodite;hermaphrodites;;herminés
herminé;herminés;herminée;herminées
herméneutique;herméneutiques;;hermétiques
hermétique;hermétiques;;hermétistes
hermétiste;hermétistes;;herniaires
herniaire;herniaires;;hernieuse
hernieux;hernieuse;hernieuses;
herpétique;herpétiques;;hertziens
hertzien;hertziens;hertzienne;hertziennes
hespéride;hespérides;;heureuse
heureux;heureuse;heureuses;
heuristique;heuristiques;;heurtés
heurté;heurtés;heurtée;heurtées
hexagonal;hexagonaux;hexagonale;hexagonales
hexagone;hexagones;;hexapodes
hexapode;hexapodes;;hexaèdres
hexaèdre;hexaèdres;;hibernaux
hibernal;hibernaux;hibernale;hibernales
hibernant;hibernants;hibernante;hibernantes
hideux;hideuse;hideuses;
hilaire;hilaires;;hilarants
hilarant;hilarants;hilarante;hilarantes
hilare;hilares;;himalayens
himalayen;himalayens;himalayenne;himalayennes
hindou;hindous;hindoue;hindoues
hindouiste;hindouistes;;hippiatriques
hippiatrique;hippiatriques;;hippies
hippie;hippies;;hippiques
hippique;hippiques;;hippocratiques
hippocratique;hippocratiques;;hippomanes
hippomane;hippomanes;;hippomobiles
hippomobile;hippomobiles;;hippuriques
hippurique;hippuriques;;hippys
hippy;hippys;hippies;
hircin;hircins;hircine;hircines
hirsute;hirsutes;;hispaniques
hispanique;hispaniques;;hispanisants
hispanisant;hispanisants;hispanisante;hispanisantes
hispide;hispides;;histochimiques
histochimique;histochimiques;;histologiques
histologique;histologiques;;historiographiques
historiographique;historiographiques;;historiques
historique;historiques;;hitlériens
hitlérien;hitlériens;hitlérienne;hitlériennes
hittite;hittites;;hivernaux
hivernal;hivernaux;hivernale;hivernales
hivernant;hivernants;hivernante;hivernantes
hiémal;hiémaux;hiémale;hiémales
hiéracocéphale;hiéracocéphales;;hiérarchiques
hiérarchique;hiérarchiques;;hiérarchisés
hiérarchisé;hiérarchisés;hiérarchisée;hiérarchisées
hiératique;hiératiques;;hiéroglyphiques
hiéroglyphique;hiéroglyphiques;;hoffmannesques
hoffmannesque;hoffmannesques;;hoffmanniens
hoffmannien;hoffmanniens;hoffmannienne;hoffmanniennes
hollandais;hollandaise;hollandaises;
hollywoodien;hollywoodiens;hollywoodienne;hollywoodiennes
holoèdre;holoèdres;;homicides
homicide;homicides;;hominaux
hominal;hominaux;hominale;hominales
hommasse;hommasses;;homographes
homographe;homographes;;homographiques
homographique;homographiques;;homogènes
homogène;homogènes;;homologiques
homologique;homologiques;;homologues
homologue;homologues;;homonymes
homonyme;homonymes;;homonymiques
homonymique;homonymiques;;homophones
homophone;homophones;;homosexuels
homosexuel;homosexuels;homosexuelle;homosexuelles
homothétique;homothétiques;;homozygotes
homozygote;homozygotes;;homéopathes
homéopathe;homéopathes;;homéopathiques
homéopathique;homéopathiques;;homéostasiques
homéostasique;homéostasiques;;homéothermes
homéotherme;homéothermes;;homériques
homérique;homériques;;hongres
hongre;hongres;;hongroise
hongrois;hongroise;hongroises;
honni;honnis;honnie;honnies
honnête;honnêtes;;honorables
honorable;honorables;;honoraires
honoraire;honoraires;;
honoraires;;honorifiques;
honorifique;honorifiques;;honteuse
honteux;honteuse;honteuses;
hoquetant;hoquetants;hoquetante;hoquetantes
horaire;horaires;;horizontaux
horizontal;horizontaux;horizontale;horizontales
horloger;horlogers;horlogère;horlogères
hormonal;hormonaux;hormonale;hormonales
horrible;horribles;;horrifiants
horrifiant;horrifiants;horrifiante;horrifiantes
horrifique;horrifiques;;horrifiés
horrifié;horrifiés;horrifiée;horrifiées
horripilant;horripilants;horripilante;horripilantes
horticole;horticoles;;hospitaliers
hospitalier;hospitaliers;hospitalière;hospitalières
hospitalisé;hospitalisés;hospitalisée;hospitalisées
hostile;hostiles;;hottentots
hottentot;hottentots;hottentote;hottentotes
houiller;houillers;houillère;houillères
houilleux;houilleuse;houilleuses;
houleux;houleuse;houleuses;
hugolien;hugoliens;hugolienne;hugoliennes
huguenot;huguenots;huguenote;huguenotes
huileux;huileuse;huileuses;
huilier;huiliers;huilière;huilières
huilé;huilés;huilée;huilées
huitième;huitièmes;;humains
humain;humains;humaine;humaines
humaniste;humanistes;;humanistiques
humanistique;humanistiques;;humanitaires
humanitaire;humanitaires;;humbles
humble;humbles;;humectants
humectant;humectants;humectante;humectantes
humide;humides;;humiliants
humiliant;humiliants;humiliante;humiliantes
humilié;humiliés;humiliée;humiliées
humique;humiques;;humoraux
humoral;humoraux;humorale;humorales
humoriste;humoristes;;humoristiques
humoristique;humoristiques;;huméraux
huméral;huméraux;humérale;humérales
huppé;huppés;huppée;huppées
hurlant;hurlants;hurlante;hurlantes
hurleur;hurleurs;hurleuse;hurleuses
hurluberlu;hurluberlus;hurluberlue;hurluberlues
huron;hurons;huronne;huronnes
hutin;hutins;;huîtriers
huîtrier;huîtriers;huîtrière;huîtrières
hyalin;hyalins;hyaline;hyalines
hyaloïde;hyaloïdes;;hybrides
hybride;hybrides;;hydragogues
hydragogue;hydragogues;;hydrargyriques
hydrargyrique;hydrargyriques;;hydratants
hydratant;hydratants;hydratante;hydratantes
hydraté;hydratés;hydratée;hydratées
hydraulique;hydrauliques;;hydriques
hydrique;hydriques;;hydrocarbonés
hydrocarboné;hydrocarbonés;hydrocarbonée;hydrocarbonées
hydrochlorique;hydrochloriques;;hydrocyaniques
hydrocyanique;hydrocyaniques;;hydrocéphales
hydrocéphale;hydrocéphales;;hydrodynamiques
hydrodynamique;hydrodynamiques;;hydrofuges
hydrofuge;hydrofuges;;hydrographiques
hydrographique;hydrographiques;;hydrogénés
hydrogéné;hydrogénés;hydrogénée;hydrogénées
hydrologique;hydrologiques;;hydrominéraux
hydrominéral;hydrominéraux;hydrominérale;hydrominérales
hydrométrique;hydrométriques;;hydropathes
hydropathe;hydropathes;;hydrophanes
hydrophane;hydrophanes;;hydrophiles
hydrophile;hydrophiles;;hydrophobes
hydrophobe;hydrophobes;;hydrophobiques
hydrophobique;hydrophobiques;;hydropiques
hydropique;hydropiques;;hydropneumatiques
hydropneumatique;hydropneumatiques;;hydrostatiques
hydrostatique;hydrostatiques;;hydrosulfatés
hydrosulfaté;hydrosulfatés;hydrosulfatée;hydrosulfatées
hydrosulfurique;hydrosulfuriques;;hydrothermaux
hydrothermal;hydrothermaux;hydrothermale;hydrothermales
hydroélectrique;hydroélectriques;hydro-électrique;
hygiénique;hygiéniques;;hygrométriques
hygrométrique;hygrométriques;;hygroscopiques
hygroscopique;hygroscopiques;;hyménoptères
hyménoptère;hyménoptères;;hyoglosses
hyoglosse;hyoglosses;;hyoïdes
hyoïde;hyoïdes;;hyoïdiens
hyoïdien;hyoïdiens;hyoïdienne;hyoïdiennes
hyperbolique;hyperboliques;;hyperboloïdes
hyperboloïde;hyperboloïdes;;hyperborées
hyperborée;hyperborées;;hyperboréens
hyperboréen;hyperboréens;hyperboréenne;hyperboréennes
hypercorrect;hypercorrects;hypercorrecte;hypercorrectes
hypercritique;hypercritiques;;hyperesthésiques
hyperesthésique;hyperesthésiques;;hyperfocaux
hyperfocal;hyperfocaux;hyperfocale;hyperfocales
hypermètre;hypermètres;;hypermétropes
hypermétrope;hypermétropes;;hypermétropiques
hypermétropique;hypermétropiques;;hypersensibles
hypersensible;hypersensibles;;hypersthéniques
hypersthénique;hypersthéniques;;hypertendus
hypertendu;hypertendus;hypertendue;hypertendues
hypertensif;hypertensifs;hypertensive;hypertensives
hyperthyroïdien;hyperthyroïdiens;hyperthyroïdienne;hyperthyroïdiennes
hypertonique;hypertoniques;;hypertrophiques
hypertrophique;hypertrophiques;;hyperémotifs
hyperémotif;hyperémotifs;hyperémotive;hyperémotives
hypnagogique;hypnagogiques;;hypnotiques
hypnotique;hypnotiques;;hypnotisables
hypnotisable;hypnotisables;;hypnotisés
hypnotisé;hypnotisés;hypnotisée;hypnotisées
hypnoïde;hypnoïdes;;hypocondres
hypocondre;hypocondres;;hypocondriaques
hypocondriaque;hypocondriaques;;hypocoristiques
hypocoristique;hypocoristiques;;hypocrites
hypocrite;hypocrites;;hypodermiques
hypodermique;hypodermiques;;hypogastriques
hypogastrique;hypogastriques;;hypoglosses
hypoglosse;hypoglosses;;hypoglycémiques
hypoglycémique;hypoglycémiques;;hypogés
hypogé;hypogés;hypogée;hypogées
hyponyme;hyponymes;;hypophysaires
hypophysaire;hypophysaires;;hypostatiques
hypostatique;hypostatiques;;hypostyles
hypostyle;hypostyles;;hyposulfureuse
hyposulfureux;hyposulfureuse;hyposulfureuses;
hypotendu;hypotendus;hypotendue;hypotendues
hypotenseur;hypotenseurs;hypotenseuse;hypotenseuses
hypotensif;hypotensifs;hypotensive;hypotensives
hypothalamique;hypothalamiques;;hypothyroïdiens
hypothyroïdien;hypothyroïdiens;hypothyroïdienne;hypothyroïdiennes
hypothécaire;hypothécaires;;
hypothénar;;hypothéqués;hypothéquée
hypothéqué;hypothéqués;hypothéquée;hypothéquées
hypothétique;hypothétiques;;hypotoniques
hypotonique;hypotoniques;;hypsographiques
hypsographique;hypsographiques;;hypsométriques
hypsométrique;hypsométriques;;hypèthres
hypèthre;hypèthres;;hyrcaniens
hyrcanien;hyrcaniens;hyrcanienne;hyrcaniennes
hystérique;hystériques;;hystérogènes
hystérogène;hystérogènes;;hâbleurs
hâbleur;hâbleurs;hâbleuse;hâbleuses
hâtif;hâtifs;hâtive;hâtives
hâté;hâtés;hâtée;hâtées
hâve;hâves;;hébertistes
hébertiste;hébertistes;;hébraïques
hébraïque;hébraïques;;hébreus
hébreu;hébreus;hébreue;hébreues
hébété;hébétés;hébétée;hébétées
hédonique;hédoniques;;hédonistes
hédoniste;hédonistes;;hégéliens
hégélien;hégéliens;hégélienne;hégéliennes
héliaque;héliaques;;hélicoïdaux
hélicoïdal;hélicoïdaux;hélicoïdale;hélicoïdales
hélicoïde;hélicoïdes;;héliocentriques
héliocentrique;héliocentriques;;hélioscopes
hélioscope;hélioscopes;;hématiques
hématique;hématiques;;hématogènes
hématogène;hématogènes;;hématologiques
hématologique;hématologiques;;hématopoïétiques
hématopoïétique;hématopoïétiques;;hémiplégiques
hémiplégique;hémiplégiques;;hémiptères
hémiptère;hémiptères;;hémisphériques
hémisphérique;hémisphériques;;hémièdres
hémièdre;hémièdres;;hémiédriques
hémiédrique;hémiédriques;;hémolytiques
hémolytique;hémolytiques;;hémorragiques
hémorragique;hémorragiques;;hémorroïdaux
hémorroïdal;hémorroïdaux;hémorroïdale;hémorroïdales
hémostatique;hémostatiques;;hépatiques
hépatique;hépatiques;;hépatisés
hépatisé;hépatisés;hépatisée;hépatisées
héraldique;héraldiques;;hérissés
hérissé;hérissés;hérissée;hérissées
héronnier;héronniers;héronnière;héronnières
héroïque;héroïques;;héréditaires
héréditaire;héréditaires;;hérétiques
hérétique;hérétiques;;hésitants
hésitant;hésitants;hésitante;hésitantes
hétéroclite;hétéroclites;;hétérodoxes
hétérodoxe;hétérodoxes;;hétérogènes
hétérogène;hétérogènes;;hétérologues
hétérologue;hétérologues;;hétéromorphes
hétéromorphe;hétéromorphes;;hétéronomes
hétéronome;hétéronomes;;hétéronymes
hétéronyme;hétéronymes;;hétérosexuels
hétérosexuel;hétérosexuels;hétérosexuelle;hétérosexuelles
hétérotrophe;hétérotrophes;;hétérozygotes
hétérozygote;hétérozygotes;;hôteliers
hôtelier;hôteliers;hôtelière;hôtelières
ibiocéphale;ibiocéphales;;ibséniens
ibsénien;ibséniens;ibsénienne;ibséniennes
ibère;ibères;;ibériques
ibérique;ibériques;;icariens
icarien;icariens;icarienne;icariennes
ichoreux;ichoreuse;ichoreuses;
ichtyologique;ichtyologiques;;ichtyophages
ichtyophage;ichtyophages;;iconiques
iconique;iconiques;;iconoclastes
iconoclaste;iconoclastes;;iconographiques
iconographique;iconographiques;;ictériques
ictérique;ictériques;;identifiables
identifiable;identifiables;;identiques
identique;identiques;;idiomatiques
idiomatique;idiomatiques;;idiopathiques
idiopathique;idiopathiques;;idiosyncrasiques
idiosyncrasique;idiosyncrasiques;;idiots
idiot;idiots;idiote;idiotes
idoine;idoines;;idolâtres
idolâtre;idolâtres;;idolâtriques
idolâtrique;idolâtriques;;idolâtrés
idolâtré;idolâtrés;idolâtrée;idolâtrées
idyllique;idylliques;;idéals
idéal;idéals;idéaux;idéale
idéaliste;idéalistes;;idéels
idéel;idéels;idéelle;idéelles
idéographique;idéographiques;;idéologiques
idéologique;idéologiques;;ignaciennes
ignacien;ignaciennes;ignacien;ignaciens
ignare;ignares;;ignatiennes
ignatien;ignatiennes;ignatien;ignatiens
ignescent;ignescents;ignescente;ignescentes
ignicole;ignicoles;;ignifuges
ignifuge;ignifuges;;ignigènes
ignigène;ignigènes;;ignivomes
ignivome;ignivomes;;ignobles
ignoble;ignobles;;ignominieuse
ignominieux;ignominieuse;ignominieuses;
ignorant;ignorants;ignorante;ignorantes
ignorantin;ignorantins;ignorantine;ignorantines
ignoré;ignorés;ignorée;ignorées
igné;ignés;ignée;ignées
iliaque;iliaques;;illatifs
illatif;illatifs;illative;illatives
illettré;illettrés;illettrée;illettrées
illibéral;illibéraux;illibérale;illibérales
illicite;illicites;;illimités
illimité;illimités;illimitée;illimitées
